Match_id,Team,Over_num,Commentary,batsman,score
4281444,RCB 1st Inns,0.5,"Nehra to Mandeep, FOUR, first boundary for Mandeep and RCB. Full and on the pads, needed to be put away and Mandeep did just that, picked it up and dispatched it over mid-wicket, couple of bounces and into the fence",Nehra to Mandeep,FOUR
4281444,RCB 1st Inns,1.0,"Nehra to Mandeep, FOUR, back-to-back boundaries to end the first over. Again, Nehra is a tad short in his length, Mandeep had the width to cut and he didn't try to hit it hard, just placed it behind point and Bhuvi at third man gave up the chase pretty quickly",Nehra to Mandeep,FOUR
4281444,RCB 1st Inns,10.0,"Henriques to Kedar Jadhav, FOUR, hit straight back at Henriques and he was late to get his hand up. Once more the off-cutter which almost fooled Jadhav, who shimmied down and checked his drive, middled it alright to beat the mid-off fielder",Henriques to Kedar Jadhav,FOUR
4281444,RCB 1st Inns,10.4,"Nehra to Kedar Jadhav, FOUR, another full toss, it's Jadhav this time and he picks his spot into the deep mid-wicket fence. Not great bowling from Nehra. He's missing the yorker by quite a bit",Nehra to Kedar Jadhav,FOUR
4281444,RCB 1st Inns,10.5,"Nehra to Kedar Jadhav, FOUR, four more. Jadhav starting to really find his timing now and he's looking dangerous. This is smart batting rather than just throwing his bat at everything. He knows that fine leg is up and so he waits for the back of a length delivery to come to him before pulling it over the fielder. Nehra under pressure",Nehra to Kedar Jadhav,FOUR
4281444,RCB 1st Inns,12.4,"Rashid Khan to Head, FOUR, goes down and smashes the full toss over the deep mid-wicket ropes. Some nerves maybe from the Afghanistan leggie and Head pounced all over them with a mighty slog-sweep",Rashid Khan to Head,FOUR
4281444,RCB 1st Inns,15.5,"Cutting to Watson, FOUR, plants his foot down and absolutely drills the ball wide of a diving extra-cover. Overpitched from Cutting, Watson blasts him away",Cutting to Watson,FOUR
4281444,RCB 1st Inns,2.2,"Nehra to Gayle, FOUR, Nehra goes back to the shorter length, Gayle seems a tad comfortable with that, hops on one leg and uses Nehra's pace to guide it past the diving short fine leg fielder",Nehra to Gayle,FOUR
4281444,RCB 1st Inns,2.4,"Nehra to Mandeep, FOUR, might have been the slower one and Mandeep picked the bones out of that one. He cleared his front leg to give him more options and then slots the loft over mid-on, one bounce and over the rope",Nehra to Mandeep,FOUR
4281444,RCB 1st Inns,4.0,"Bhuvneshwar to Mandeep, FOUR, Mandeep is playing the perfect foil to Gayle. Warner already worried. Full on middle and leg, whipped through mid-wicket and mid-on. Hit uppishly but placed it expertly in the gap",Bhuvneshwar to Mandeep,FOUR
4281444,RCB 1st Inns,5.0,"Cutting to Gayle, FOUR, not convincing, but Gayle will take that. A very good over from Cutting. Just misses the length this ball, goes full and that allows Gayle to get underneath and hoick it over mid-wicket. Not off the middle but enough to clear the fielder",Cutting to Gayle,FOUR
4281444,RCB 1st Inns,5.2,"Rashid Khan to Mandeep, FOUR, Rashid throws it up once more and this time Mandeep threads the crowded off-side field. Overpitched and Mandeep went full-throttle on the drive, raced to the sweeper fence",Rashid Khan to Mandeep,FOUR
4281444,RCB 1st Inns,7.1,"Rashid Khan to Head, FOUR, lots of flighted and lands as a half volley, Head gets a good stride forward and drives it past Henriques at extra cover, the timing was superb as long-off had no chance of cutting that off",Rashid Khan to Head,FOUR
4281444,RCB 1st Inns,8.0,"Rashid Khan to Kedar Jadhav, FOUR, ordinary delivery from Rashid and Jadhav is all over it. The young man is shaking his head while taking his cap from the umpire. Half tracker which sat up nicely for Jadhav, who pulls it between deep mid-wicket and long-on",Rashid Khan to Kedar Jadhav,FOUR
4281444,RCB 1st Inns,9.1,"Henriques to Head, FOUR, Head does the most of the full length delivery, stays deep in the crease and opens himself up to free his arms, smashes it straight down the ground and even a quick Warner could not reach that from long-on",Henriques to Head,FOUR
4281444,SRH 1st Inns,0.3,"Tymal Mills to Warner, FOUR, lovely shot, sublime timing on that one from Warner, it wasn't anything more than a back-foot punch. This was a back of a length delivery outside off, he got on top of the bounce and placed it in the gap past point",Tymal Mills to Warner,FOUR
4281444,SRH 1st Inns,1.2,"Aniket Choudhary to Warner, FOUR, smashed, width on offer from Choudhary, Warner gets forward and thumps it over mid-off, couple of bounces and over the ropes",Aniket Choudhary to Warner,FOUR
4281444,SRH 1st Inns,10.2,"Binny to Dhawan, FOUR, oh boy. He's toying around with the bowling out here. Binny looks to go wide outside off with the shortened length as well. But Dhawan in all his confidence walks across, crouches and half-pulls, half-sweeps it past the reach of the man at 45-degrees behind square",Binny to Dhawan,FOUR
4281444,SRH 1st Inns,11.5,"Aravind to Yuvraj, FOUR, here's the pick up. Vintage Yuvraj. Helped by an allying half volley on the pads at gentle pace and all he does with it is lovingly lofts his flick. All the timing and a bounce into the mid-wicket fence",Aravind to Yuvraj,FOUR
4281444,SRH 1st Inns,12.1,"Aniket Choudhary to Yuvraj, FOUR, streaky. But the runs keeps leaking. Does it really matter how. Wide, half way down the track and Yuvraj anticipates the ball to fizz up in flat batting it across. There's barely any climb, and all he gets is the inside edge to impart the direction in guiding it just past the sticks",Aniket Choudhary to Yuvraj,FOUR
4281444,SRH 1st Inns,12.3,"Aniket Choudhary to Yuvraj, FOUR, and it keeps getting better. Rocks back, stands tall, waits for the short drag down to sit up and swats in his swivel. All the crunch in the timing to reintroduce it back into the fence",Aniket Choudhary to Yuvraj,FOUR
4281444,SRH 1st Inns,13.1,"Watson to Yuvraj, FOUR, back to the usual. Is this a surprise anymore. This time the skipper decides to test him with a short one, one that neither has the pace nor the bounce. And obliged with a swat. As flat as you'd want",Watson to Yuvraj,FOUR
4281444,SRH 1st Inns,14.1,"Aravind to Henriques, FOUR, on the charge. And the slap. The combo bags yet another fence hunter. Walks down, intercepts the length and gets on top of the bounce of this back of a length delivery in flaying it in front of square",Aravind to Henriques,FOUR
4281444,SRH 1st Inns,16.3,"Tymal Mills to Yuvraj, FOUR, head on. The battle continues. With Mills keen on cramping him up with the short pepper gets it barely up to the ribs. Just when he spots the bat going flat and the face pointing upwards in hooking it away. Behind square it flies",Tymal Mills to Yuvraj,FOUR
4281444,SRH 1st Inns,17.3,"Aniket Choudhary to Yuvraj, FOUR, a salute in celebration. Takes the bat to his head in holding it up to his team mates inside. Covers all his sticks with a shuffle and after getting bored of the wides throws the kitchen sink at it and slaps it over point. #HisFastestIPLFifty",Aniket Choudhary to Yuvraj,FOUR
4281444,SRH 1st Inns,18.2,"Tymal Mills to Yuvraj, FOUR, full, down leg. Nothing right with that. Certainly not if fine leg is inside. Certainly not if that man is Chris Gayle. All Yuvraj has to do is get the bat down in giving it some tickle. And places it wide and into the ropes",Tymal Mills to Yuvraj,FOUR
